id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1627,2,0,Sour Haze,0,0,0,Hybrid,0,Unknown Breeder,"Uplifted, Euphoric, Focused, Happy, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Skunk, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1628,2,0,Sour Jack,0,0,0,Hybrid,0,Karma Genetics,"Energetic, Happy, Creative, Uplifted, Euphoric, Dry Mouth, Anxious, Paranoid","Depression, Stress, Pain",Citrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1629,2,0,Sour Joker,0,0,0,Hybrid,0,HortiLab Seeds,"Happy, Uplifted, Euphoric, Energetic, Focused, Dry Mouth, Anxious, Paranoid","Nausea, Depression, Stress",Citrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630,2,0,Sour Maui,0,0,0,Sativa,0,0,"Uplifted, Euphoric, Energetic, Talkative, Happy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite","Citrus, Earthy, Lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1631,2,0,Sour Pebbles,0,0,0,Hybrid,0,Unknown Breeder,"Happy, Euphoric, Hungry, Creative, Dry Mouth","Stress, Depression, Pain, Nausea","Sweet, Berry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,2,0,Sour Poison,0,0,0,Hybrid,0,Unknown Breeder,"Uplifted, Happy, Talkative, Relaxed, Dry Mouth","Depression, Lack of Appetite, Pain, Stress, Nausea","Citrus, Earthy, Pine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1633,2,0,Sour Willie,0,0,0,Sativa,0,0,"Happy, Hungry, Horny, Euphoric, Uplifted, Dry Mouth, Anxious","Depression, Lack of Appetite, Pain, Stress, Nausea",Sweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,2,0,Sourlope,0,0,0,Hybrid,0,DNA Genetics,"Happy, Focused, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain",Sweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,2,0,South American,0,0,0,Sativa,0,0,"Hungry, Energetic, Uplifted, Happy, Relaxed, Dry Mouth, Paranoid, Anxious","Depression, Lack of Appetite, Nausea","Earthy, Pine, Mango",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636,2,0,South Asian Sativa,0,0,0,Sativa,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1637,2,0,South Indian Sativa,0,0,0,Sativa,0,0,"Euphoric, Relaxed, Creative, Energetic, Uplifted, Dry Mouth","Stress, Pain, Depression, Inflammation, Muscle Spasms","Earthy, Skunk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638,2,0,Southern Lights,0,0,0,Sativa,0,0,"Horny, Uplifted, Creative, Euphoric, Happy",Seizures,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,2,0,Space Jill,0,0,0,Sativa,0,0,"Creative, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid","Pain, Stress, Depression, Nausea",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,2,0,Space Needle,0,0,0,Sativa,0,0,"Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious","Depression, Stress",Pine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641,2,0,Spliffâ€™s Strawberry,0,0,0,Sativa,0,0,"Talkative, Creative, Energetic, Euphoric, Focused","Lack of Appetite, Stress","Sweet, Berry, Strawberry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1642,2,0,Sputnik,0,0,0,Sativa,0,0,"Happy, Relaxed, Energetic, Tingly, Euphoric, Dry Mouth, Paranoid","Depression, Pain, Stress",Sweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1643,2,0,Stardawg Guava,0,0,0,Sativa,0,0,"Uplifted, Happy, Relaxed, Focused, Euphoric, Dry Mouth","Depression, Stress, Pain, Inflammation",Sweet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,2,0,Stella Blue,0,0,0,Sativa,0,0,"Energetic, Uplifted, Happy, Focused, Relaxed, Dry Mouth, Paranoid","Depression, Stress, Nausea, Pain","Sweet, Berry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1645,2,0,Strawberry Amnesia,0,0,0,Sativa,0,0,"Euphoric, Uplifted, Relaxed, Energetic, Focused, Dry Mouth, Anxious","Stress, Depression, Lack of Appetite","Strawberry, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,2,0,Strawberry Blue,0,0,0,Hybrid,0,World Of Seeds Bank,"Happy, Energetic, Uplifted, Euphoric, Dry Mouth","Stress, Depression, Pain, Lack of Appetite","Strawberry, Sweet, Berry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1647,2,0,Strawberry Durban Diesel,0,0,0,Hybrid,0,Loud Seeds,"Talkative, Uplifted, Horny, Creative, Energetic","Depression, Stress","Strawberry, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648,2,0,Strawberry Ice,0,0,0,Sativa,0,0,"Euphoric, Uplifted, Focused, Energetic, Happy, Dry Mouth, Paranoid","Depression, Stress, Pain","Strawberry, Sweet, Berry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,2,0,Strawberry Lemonade,0,0,0,Sativa,0,0,"Happy, Euphoric, Energetic, Creative, Uplifted, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain","Lemon, Strawberry, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,2,0,Strawberry Mango Haze,0,0,0,Sativa,0,0,"Happy, Euphoric, Uplifted, Focused, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Mango, Strawberry, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
